45_d500_106_1574_3_badger_2020-02-01,45_d500_127_0_badger_2017-09-01,45_d500_189_1_badger_2015-03-01,45_d500_190_1526_1_badger_2019-06-01,45_d500_37_585_0_badger_2020-02-01,45_d500_37_586_0_badger_2018-09-01,45_d500_37_586_1_badger_2020-02-01,45_d500_40_0_badger_2020-02-01,45_d500_44_0_badger_2020-02-01,45_d500_51_0_badger_2020-02-01,45_d500_53_596_0_badger_2019-09-01,45_d500_57_687_0_badger_2020-02-01,45_d500_60_0_badger_2020-02-01,45_d500_63_0_badger_2020-02-01,45_d500_99_766_0_badger_2019-08-01,49_d500_10_0_badger_2016-01-01,49_d500_10_1_badger_2020-02-01,49_d500_4_0_badger_2016-06-01,49_d500_6_1534_1_badger_2020-02-01,49_d500_6_1534_2_badger_2016-07-01,49_d500_7_2_badger_2020-02-01,49_d500_7_3_badger_2020-02-01,49_d500_7_4_badger_2020-02-01,49_d500_8_0_badger_2016-07-01,64075003_0_cattle_2017-03-01,64075003_1_cattle_2017-01-01,64075006_0_cattle_2016-02-01,64075006_1_cattle_2016-04-01,64075006_2_cattle_2016-04-01,64075006_3_cattle_2016-04-01,64075006_4_cattle_2016-02-01,64075006_5_cattle_2016-04-01,64075006_6_cattle_2018-12-01,64075006_7_cattle_2019-02-01,64075006_8_cattle_2018-12-01,64075028_0_cattle_2019-01-01,64075028_1_cattle_2019-01-01,64075028_2_cattle_2019-01-01,64075028_3_cattle_2019-01-01,64075028_6_cattle_2019-08-01,64075_4_boar_2019-03-01,64176007_0_cattle_2015-03-01,64176007_1_cattle_2015-02-01,64176007_2_cattle_2015-03-01,64176007_3_cattle_2015-03-01,64176007_4_cattle_2015-03-01,64176007_5_cattle_2015-03-01,64176007_6_cattle_2015-03-01,64176007_7_cattle_2015-03-01,64176007_8_cattle_2015-03-01,64349001_0_cattle_2016-03-01,64349001_10_cattle_2018-04-01,64349001_11_cattle_2020-02-01,64349001_1_cattle_2016-03-01,64349001_2_cattle_2016-03-01,64349001_3_cattle_2016-07-01,64349001_9_cattle_2018-04-01,64349013_0_cattle_2016-10-01,64349013_2_cattle_2017-02-01,64349013_3_cattle_2019-02-01,64349013_4_cattle_2018-12-01,64349013_5_cattle_2018-12-01,64349013_6_cattle_2018-12-01,64349013_7_cattle_2019-02-01,64349014_0_cattle_2017-01-01,64349014_1_cattle_2017-03-01,64349014_2_cattle_2017-01-01,64349014_3_cattle_2019-03-01,64349014_4_cattle_2019-03-01,64349014_5_cattle_2019-03-01,64349017_0_cattle_2018-01-01,64349017_1_cattle_2018-05-01,64349017_2_cattle_2018-01-01,64349017_3_cattle_2018-05-01,64349017_4_cattle_2018-05-01,64349017_5_cattle_2018-01-01,64349017_6_cattle_2018-01-01,64349017_7_cattle_2018-08-01,64349021_0_cattle_2016-06-01,64349021_10_cattle_2016-06-01,64349021_11_cattle_2016-06-01,64349021_12_cattle_2016-06-01,64349021_1_cattle_2016-02-01,64349021_2_cattle_2016-02-01,64349021_3_cattle_2016-02-01,64349021_4_cattle_2016-06-01,64349021_5_cattle_2016-02-01,64349021_6_cattle_2016-02-01,64349021_7_cattle_2016-02-01,64349021_8_cattle_2016-06-01,64349021_9_cattle_2016-06-01,64349028_0_cattle_2015-12-01,64349028_1_cattle_2015-12-01,64349038_5_cattle_2017-12-01,64349038_6_cattle_2019-02-01,64349053_0_cattle_2016-03-01,64349053_1_cattle_2016-05-01,64349053_2_cattle_2016-03-01,64349053_3_cattle_2018-08-01,64349058_0_cattle_2015-10-01,64349058_1_cattle_2019-02-01,64349062_0_cattle_2016-05-01,64349062_10_cattle_2016-05-01,64349062_12_cattle_2018-11-01,64349062_13_cattle_2018-11-01,64349062_14_cattle_2019-11-01,64349062_1_cattle_2016-05-01,64349062_2_cattle_2016-05-01,64349062_4_cattle_2016-01-01,64349062_5_cattle_2016-01-01,64349062_6_cattle_2016-01-01,64349062_7_cattle_2016-05-01,64349062_8_cattle_2016-01-01,64349062_9_cattle_2016-01-01,64349068_0_cattle_2015-04-01,64349068_10_cattle_2015-02-01,64349068_11_cattle_2015-04-01,64349068_12_cattle_2015-04-01,64349068_13_cattle_2015-04-01,64349068_14_cattle_2015-04-01,64349068_15_cattle_2015-02-01,64349068_16_cattle_2015-02-01,64349068_17_cattle_2015-04-01,64349068_18_cattle_2015-04-01,64349068_19_cattle_2015-04-01,64349068_1_cattle_2015-02-01,64349068_20_cattle_2015-04-01,64349068_21_cattle_2015-04-01,64349068_22_cattle_2015-04-01,64349068_23_cattle_2015-04-01,64349068_24_cattle_2017-01-01,64349068_25_cattle_2017-01-01,64349068_26_cattle_2017-01-01,64349068_27_cattle_2017-01-01,64349068_28_cattle_2017-01-01,64349068_29_cattle_2018-05-01,64349068_2_cattle_2015-02-01,64349068_30_cattle_2017-11-01,64349068_31_cattle_2018-05-01,64349068_32_cattle_2018-08-01,64349068_33_cattle_2019-05-01,64349068_3_cattle_2015-02-01,64349068_4_cattle_2015-02-01,64349068_5_cattle_2015-02-01,64349068_6_cattle_2015-04-01,64349068_7_cattle_2015-04-01,64349068_8_cattle_2015-02-01,64349068_9_cattle_2015-02-01,64349070_10_cattle_2017-05-01,64349070_11_cattle_2017-05-01,64349070_12_cattle_2017-05-01,64349070_13_cattle_2017-05-01,64349070_14_cattle_2017-05-01,64349070_15_cattle_2017-05-01,64349070_16_cattle_2017-05-01,64349070_17_cattle_2017-05-01,64349070_18_cattle_2017-05-01,64349070_19_cattle_2017-05-01,64349070_1_cattle_2016-05-01,64349070_20_cattle_2017-05-01,64349070_21_cattle_2017-05-01,64349070_22_cattle_2017-08-01,64349070_23_cattle_2018-08-01,64349070_24_cattle_2018-11-01,64349070_25_cattle_2019-08-01,64349070_2_cattle_2016-01-01,64349070_3_cattle_2017-05-01,64349070_4_cattle_2017-05-01,64349070_5_cattle_2017-05-01,64349070_6_cattle_2017-05-01,64349070_7_cattle_2017-05-01,64349070_8_cattle_2017-05-01,64349070_9_cattle_2017-08-01,64349086_1_cattle_2017-01-01,64349_102_boar_2020-02-01,64349_104_boar_2020-02-01,64349_105_boar_2019-08-01,64349_106_boar_2019-12-01,64349_108_boar_2019-02-01,64349_109_boar_2020-02-01,64349_10_boar_2014-04-01,64349_110_boar_2020-02-01,64349_111_boar_2020-02-01,64349_112_boar_2020-02-01,64349_113_boar_2019-12-01,64349_11_boar_2016-05-01,64349_12_boar_2016-02-01,64349_13_boar_2016-10-01,64349_15_boar_2014-03-01,64349_16_boar_2018-02-01,64349_19_boar_2018-06-01,64349_1_boar_2013-11-01,64349_20_boar_2014-10-01,64349_21_boar_2015-12-01,64349_23_boar_2016-03-01,64349_24_boar_2020-02-01,64349_25_boar_2016-02-01,64349_26_boar_2017-01-01,64349_27_boar_2017-10-01,64349_28_boar_2015-04-01,64349_29_boar_2016-02-01,64349_2_boar_2014-08-01,64349_30_boar_2016-01-01,64349_31_boar_2016-05-01,64349_32_boar_2015-06-01,64349_33_boar_2017-04-01,64349_36_boar_2018-09-01,64349_37_boar_2015-10-01,64349_38_boar_2016-01-01,64349_39_boar_2017-01-01,64349_3_boar_2014-01-01,64349_40_boar_2017-01-01,64349_41_boar_2017-11-01,64349_42_boar_2016-01-01,64349_43_boar_2016-02-01,64349_46_boar_2017-10-01,64349_47_boar_2017-04-01,64349_48_boar_2017-08-01,64349_49_boar_2016-02-01,64349_4_boar_2014-06-01,64349_51_boar_2017-12-01,64349_52_boar_2016-04-01,64349_53_boar_2017-03-01,64349_54_boar_2016-05-01,64349_55_boar_2016-09-01,64349_56_boar_2018-11-01,64349_57_boar_2019-10-01,64349_58_boar_2018-02-01,64349_59_boar_2017-02-01,64349_5_boar_2013-03-01,64349_62_boar_2019-01-01,64349_63_boar_2018-05-01,64349_64_boar_2017-02-01,64349_65_boar_2019-06-01,64349_67_boar_2019-03-01,64349_68_boar_2018-11-01,64349_69_boar_2020-02-01,64349_6_boar_2017-02-01,64349_70_boar_2017-09-01,64349_71_boar_2017-07-01,64349_73_boar_2018-11-01,64349_74_boar_2017-08-01,64349_75_boar_2017-09-01,64349_76_boar_2018-10-01,64349_77_boar_2018-09-01,64349_78_boar_2019-03-01,64349_7_boar_2014-09-01,64349_82_boar_2020-02-01,64349_83_boar_2020-02-01,64349_84_boar_2018-11-01,64349_85_boar_2020-02-01,64349_86_boar_2020-02-01,64349_87_boar_2020-02-01,64349_88_boar_2019-06-01,64349_90_boar_2018-08-01,64349_91_boar_2020-02-01,64349_92_boar_2019-01-01,64349_93_boar_2018-11-01,64349_94_boar_2018-10-01,64349_95_boar_2020-02-01,64349_96_boar_2020-02-01,64349_97_boar_2020-02-01,64349_99_boar_2019-06-01,64349_9_boar_2016-11-01,64359005_0_cattle_2020-02-01,64359005_2_cattle_2020-02-01,64359008_5_cattle_2019-04-01,64359023_0_cattle_2020-02-01,64359024_1_cattle_2020-02-01,64359029_0_cattle_2020-02-01,64359045_0_cattle_2019-03-01,64359045_1_cattle_2019-03-01,64359045_3_cattle_2019-10-01,64359045_4_cattle_2019-07-01,64359045_6_cattle_2020-02-01,64359046_0_cattle_2020-02-01,64359050_0_cattle_2020-02-01,64359054_0_cattle_2020-02-01,64359056_1_cattle_2020-02-01,64359061_0_cattle_2019-07-01,64359061_2_cattle_2020-02-01,64359103_1_cattle_2020-02-01,64359108_0_cattle_2018-12-01,64359108_1_cattle_2018-12-01,64359108_3_cattle_2018-12-01,64359110_3_cattle_2018-12-01,64359110_7_cattle_2020-02-01,64359119_0_cattle_2020-02-01,64359138_11_cattle_2020-02-01,64359138_9_cattle_2020-02-01,64359142_0_cattle_2019-11-01,64359142_2_cattle_2019-12-01,64359142_3_cattle_2019-12-01,64359142_4_cattle_2019-12-01,64359144_0_cattle_2019-12-01,64359144_1_cattle_2019-12-01,64359149_1_cattle_2020-02-01,64359158_0_cattle_2020-02-01,64359187_0_cattle_2019-12-01,64359200_0_cattle_2019-12-01,64359204_1_cattle_2020-02-01,64359_10_boar_2020-02-01,64359_11_boar_2020-02-01,64359_12_boar_2019-02-01,64359_13_boar_2020-02-01,64359_16_boar_2020-02-01,64359_17_boar_2020-02-01,64359_18_boar_2020-02-01,64359_20_boar_2020-02-01,64359_3_boar_2020-02-01,64359_6_boar_2019-01-01,64359_9_boar_2020-02-01,64367011_0_cattle_2017-02-01,64367042_0_cattle_2017-05-01,64367042_1_cattle_2017-09-01,64367042_2_cattle_2017-05-01,64367042_3_cattle_2017-09-01,64367042_4_cattle_2017-09-01,64367042_5_cattle_2017-05-01,64367042_6_cattle_2017-09-01,64367042_7_cattle_2017-12-01,64367042_8_cattle_2017-12-01,64367_15_boar_2020-02-01,64367_16_boar_2017-08-01,64367_17_boar_2018-11-01,64434004_0_cattle_2016-06-01,64434004_2_cattle_2016-04-01,64434004_3_cattle_2016-06-01,64434004_4_cattle_2016-04-01,64434004_5_cattle_2016-04-01,64434004_6_cattle_2016-06-01,64434004_7_cattle_2016-04-01,64434004_8_cattle_2016-04-01,64434004_9_cattle_2016-06-01,64440002_0_cattle_2017-05-01,64440008_0_cattle_2017-12-01,64440008_1_cattle_2020-02-01,64440_4_boar_2020-02-01,64440_6_boar_2020-02-01,64512024_29_cattle_2018-09-01,64556001_26_cattle_2017-09-01,64556001_32_cattle_2018-12-01,64556005_8_cattle_2018-05-01,64556_22_boar_2020-02-01
0,0,0,0,0.0037992401519696068,0.2001599680064028,0.048190361927614334,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019396120775844794,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011997600479904018,0,0.0017996400719856025,0.001399720055988802,0,0,0,0,0,0.1731653669266179,0,0,0.04459108178364314,0.02679464107178558,0,0.046990601879623936,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0045990801839632086,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0.0045990801839632086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.004799040191961609,0.09058188362327602,0.002999400119976005,0,0,0,0.0015996800639872023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033793241351729564,0,0,0,0,0,0,0,0,0,0,0.011397720455908809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009998000399920012,0.0031993601279744054,0,0.0017996400719856025,0,0,0.0027994401119776045,0,0,0.022795440911817587,0,0,0.41011797640470743,0.047790441911617534,0.057588482303539114,0,0,0,0,0,0,0,3.999200159968006e-4,0,1.999600079984003e-4,0,0,0.00519896020795841,0.0049990001999600095,0.0031993601279744054,0,0,0,0,0,0,0,0,0,0.0019996000799840027,0.004799040191961609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006198760247950412,0,0,0.0687862427514497,0,0.028594281143771175,0,0,0.16016796640672148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026994601079783978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.04879024195160953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0167966406718656,0,0,0,0.013397320535892805,0,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004799040191961609,0,0,0,0,0,0,0.0035992801439712063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21835632873425778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26414717056589093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00519896020795841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5242951409717818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32333533293341105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2783443311337758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15336932613477566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023995200959808036,0.04519096180763834,0.017796440711857597,0,0,0,0,0,0.03139372125574877,0,0,0,0.04859028194361113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.012397520495900807,0,0,1.999600079984003e-4,3.999200159968006e-4,0.005798840231953611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017596480703859198,0,0.0023995200959808036,0,0,1.999600079984003e-4,0.0023995200959808036,0.0023995200959808036,7.998400319936012e-4,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0.0017996400719856025,0,0,0,0,0,0,0,0.1667666466706689,0,0,0,0,0,0,0,0.002199560087982403,0.0035992801439712063,0,0,0,0,0,0.0023995200959808036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
