45_d500_123_762_0_badger_2012-02-01,45_d500_124_0_badger_2020-02-01,45_d500_124_1_badger_2013-08-01,45_d500_129_776_0_badger_2020-02-01,45_d500_129_776_1_badger_2020-02-01,45_d500_136_0_badger_2016-09-01,45_d500_144_0_badger_2019-05-01,45_d500_144_1_badger_2019-11-01,45_d500_152_0_badger_2016-08-01,45_d500_170_0_badger_2013-11-01,45_d500_188_0_badger_2020-02-01,45_d500_190_1526_0_badger_2015-01-01,45_d500_99_766_0_badger_2013-07-01,45_d500_99_766_1_badger_2013-06-01,45_d500_99_766_2_badger_2019-09-01,45_d500_99_766_3_badger_2015-05-01,45_d500_99_839_0_badger_2015-07-01,45_d500_99_866_0_badger_2015-06-01,64349001_0_cattle_2020-02-01,64349001_1_cattle_2020-02-01,64349013_0_cattle_2016-06-01,64349013_1_cattle_2015-12-01,64349013_2_cattle_2016-06-01,64349013_3_cattle_2016-06-01,64349013_4_cattle_2016-02-01,64349053_0_cattle_2017-02-01,64349053_1_cattle_2018-03-01,64349053_2_cattle_2017-12-01,64349053_3_cattle_2018-03-01,64349053_4_cattle_2018-06-01,64349053_5_cattle_2018-03-01,64349053_6_cattle_2019-06-01,64349058_0_cattle_2015-12-01,64349058_1_cattle_2015-12-01,64349058_2_cattle_2018-04-01,64349068_0_cattle_2015-06-01,64349068_10_cattle_2015-06-01,64349068_11_cattle_2014-08-01,64349068_12_cattle_2015-06-01,64349068_13_cattle_2015-06-01,64349068_14_cattle_2015-06-01,64349068_15_cattle_2015-06-01,64349068_16_cattle_2015-06-01,64349068_17_cattle_2015-06-01,64349068_18_cattle_2015-06-01,64349068_19_cattle_2015-06-01,64349068_1_cattle_2015-06-01,64349068_20_cattle_2015-06-01,64349068_21_cattle_2015-06-01,64349068_22_cattle_2015-02-01,64349068_23_cattle_2015-06-01,64349068_24_cattle_2015-06-01,64349068_25_cattle_2015-06-01,64349068_26_cattle_2015-06-01,64349068_27_cattle_2015-06-01,64349068_28_cattle_2015-06-01,64349068_29_cattle_2015-06-01,64349068_2_cattle_2015-06-01,64349068_30_cattle_2015-06-01,64349068_31_cattle_2015-06-01,64349068_32_cattle_2015-02-01,64349068_33_cattle_2015-06-01,64349068_34_cattle_2015-06-01,64349068_35_cattle_2015-06-01,64349068_36_cattle_2015-06-01,64349068_37_cattle_2015-06-01,64349068_38_cattle_2015-06-01,64349068_39_cattle_2015-06-01,64349068_3_cattle_2014-08-01,64349068_40_cattle_2015-06-01,64349068_41_cattle_2015-06-01,64349068_42_cattle_2015-06-01,64349068_43_cattle_2015-06-01,64349068_44_cattle_2015-06-01,64349068_45_cattle_2015-06-01,64349068_46_cattle_2015-06-01,64349068_47_cattle_2015-05-01,64349068_48_cattle_2015-06-01,64349068_49_cattle_2018-04-01,64349068_4_cattle_2015-06-01,64349068_50_cattle_2018-02-01,64349068_51_cattle_2018-04-01,64349068_52_cattle_2018-02-01,64349068_53_cattle_2018-02-01,64349068_54_cattle_2019-10-01,64349068_5_cattle_2015-06-01,64349068_6_cattle_2015-06-01,64349068_7_cattle_2015-06-01,64349068_8_cattle_2014-04-01,64349068_9_cattle_2014-05-01,64349070_0_cattle_2016-12-01,64349070_1_cattle_2020-02-01,64349086_0_cattle_2020-02-01,64349086_1_cattle_2020-02-01,64349_0_boar_2017-05-01,64349_10_boar_2019-06-01,64349_11_boar_2015-05-01,64349_12_boar_2015-08-01,64349_14_boar_2016-01-01,64349_15_boar_2019-04-01,64349_16_boar_2018-02-01,64349_17_boar_2016-09-01,64349_18_boar_2019-03-01,64349_19_boar_2016-07-01,64349_1_boar_2013-10-01,64349_20_boar_2018-05-01,64349_21_boar_2019-07-01,64349_22_boar_2020-02-01,64349_23_boar_2017-10-01,64349_24_boar_2017-11-01,64349_25_boar_2019-07-01,64349_26_boar_2018-04-01,64349_27_boar_2020-02-01,64349_28_boar_2016-12-01,64349_29_boar_2019-02-01,64349_2_boar_2013-09-01,64349_30_boar_2018-03-01,64349_32_boar_2019-03-01,64349_33_boar_2020-02-01,64349_34_boar_2018-09-01,64349_35_boar_2018-09-01,64349_36_boar_2020-02-01,64349_37_boar_2019-05-01,64349_38_boar_2020-02-01,64349_39_boar_2019-01-01,64349_3_boar_2015-01-01,64349_40_boar_2019-03-01,64349_44_boar_2020-02-01,64349_45_boar_2019-05-01,64349_46_boar_2019-09-01,64349_47_boar_2020-02-01,64349_48_boar_2020-02-01,64349_4_boar_2013-12-01,64349_50_boar_2019-12-01,64349_51_boar_2020-02-01,64349_52_boar_2020-02-01,64349_53_boar_2020-02-01,64349_54_boar_2020-02-01,64349_5_boar_2014-05-01,64349_6_boar_2015-02-01,64349_7_boar_2017-11-01,64349_8_boar_2016-03-01,64367028_0_cattle_2019-02-01,64367028_1_cattle_2019-02-01,64367028_2_cattle_2019-04-01,64367028_3_cattle_2019-04-01,64367_0_boar_2015-05-01,64367_10_boar_2020-02-01,64367_6_boar_2019-06-01,64367_7_boar_2020-02-01,64367_9_boar_2019-05-01,64420012_0_cattle_2009-05-01,64420012_10_cattle_2013-05-01,64420012_11_cattle_2013-05-01,64420012_12_cattle_2014-12-01,64420012_1_cattle_2009-05-01,64420012_2_cattle_2009-05-01,64420012_3_cattle_2013-03-01,64420012_4_cattle_2013-03-01,64420012_5_cattle_2013-03-01,64420012_6_cattle_2013-05-01,64420012_7_cattle_2013-03-01,64420012_8_cattle_2013-03-01,64420012_9_cattle_2013-03-01,64420035_0_cattle_2015-02-01,64420038_0_cattle_2013-04-01,64420038_1_cattle_2013-06-01,64420038_2_cattle_2013-02-01,64420038_3_cattle_2013-06-01,64420038_4_cattle_2013-04-01,64420038_5_cattle_2013-04-01,64420038_6_cattle_2013-04-01,64420038_7_cattle_2013-06-01,64420039_0_cattle_2011-12-01,64420039_1_cattle_2012-02-01,64420039_2_cattle_2011-12-01,64420039_3_cattle_2011-12-01,64420039_4_cattle_2012-02-01,64420039_5_cattle_2015-03-01,64420039_6_cattle_2015-03-01,64420047_0_cattle_2007-12-01,64420047_10_cattle_2017-03-01,64420047_11_cattle_2017-03-01,64420047_12_cattle_2017-01-01,64420047_13_cattle_2017-01-01,64420047_14_cattle_2017-01-01,64420047_15_cattle_2017-03-01,64420047_16_cattle_2017-03-01,64420047_17_cattle_2017-03-01,64420047_18_cattle_2017-03-01,64420047_1_cattle_2017-01-01,64420047_2_cattle_2017-03-01,64420047_3_cattle_2017-03-01,64420047_4_cattle_2017-01-01,64420047_5_cattle_2017-03-01,64420047_6_cattle_2017-03-01,64420047_7_cattle_2017-01-01,64420047_8_cattle_2017-01-01,64420047_9_cattle_2017-01-01,64512036_0_cattle_2018-09-01,64512036_1_cattle_2018-10-01,64512036_2_cattle_2018-10-01,64512036_3_cattle_2017-10-01,64512036_4_cattle_2018-10-01,64512036_5_cattle_2018-10-01,64512036_6_cattle_2018-10-01,64512036_7_cattle_2018-10-01,64512036_8_cattle_2018-10-01,64512036_9_cattle_2018-10-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0,0,0,0.0037992401519696068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005798840231953611,0,0,0,0.005998800239952012,0,0,0,0,0,0.0017996400719856025,0,0,0,0,5.998800239952009e-4,0,0,1.999600079984003e-4,0.11657668466306886,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00539892021595681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,9.998000399920016e-4,0,0.0017996400719856025,0,0,0,3.999200159968006e-4
0,0,0,0,0,0,1.999600079984003e-4,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019996000799840027,0.002599480103979204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0.0027994401119776045,0.0031993601279744054,0,0.0023995200959808036,0,0,0,0,0,0.013397320535892805,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0.0017996400719856025,0,0.0067986402719456135,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011997600479904018,0,0.006398720255948813,0,0.0045990801839632086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0.0019996000799840027,0.0023995200959808036,0.002199560087982403,0,0.0019996000799840027,0,0,0.0035992801439712063,0.002599480103979204,0.008798240351929614
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1053789242151581,0,3.999200159968006e-4,0,0,0,0,0,0.007598480303939215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,9.998000399920016e-4,0,0,0,0,0,0.0019996000799840027,0,0,0,0,0,0,0,0,0,0,0.0011997600479904018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0.0011997600479904018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,7.998400319936012e-4,0,0,0,0
0,0,0,0,0,0,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017996400719856025,0,0,0,0,0.0031993601279744054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003399320135972806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027994401119776045,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22615476904619564,0,0,0,0,0,0,0,0,0.04139172165566875,0,0,0.007398520295940815,0.012397520495900807,0.006998600279944014,0.0037992401519696068,0,0.002599480103979204,0,0,5.998800239952009e-4,0,0.00539892021595681,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,0.0037992401519696068,0.0067986402719456135,0,0,0.008598280343931215,0,0.0031993601279744054,0,0,0.0015996800639872023,0,0.012397520495900807,0,0,0,0.004399120175964808,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0,0,0.003999200159968007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03519296140771836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011597680463907209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19636072785443306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01059788042391521,0,0,0,0,0,0,0,0,0.012197560487902407,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051989602079583926,0,0,0,0,0,0,0,0.07338532293541306,0,0,0,0.0049990001999600095,0.013997200559888004,0.0015996800639872023,0.0049990001999600095,0,0.008998200359928014,0,0,0.00539892021595681,0,0.002199560087982403,0,0,0,0,0,0,0.0017996400719856025,0,0,0,0.0045990801839632086,0.01079784043191361,0,0,0.007398520295940815,0,0.008198360327934416,0,0,0.0049990001999600095,0,0.0155968806238752,0,0,0,0.007398520295940815,0.0023995200959808036,0,0,0,0,0,0,0,0,0,0,0,0,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1729654069186195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0155968806238752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042191561687662346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05978804239152151,0,0,0,0,0,0,0,0,0.1055788842231565,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007998400319936016,0,7.998400319936012e-4,9.998000399920016e-4,0.033793241351729564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027994401119776045,0,0,0,3.999200159968006e-4,0,0,0,0.014197160567886403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017996400719856025,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05878824235152951,0,0.033393321335732765,0,0,0,0,0,0,0.26774645070986175,0,0,0.052589482103579124,0,0,0,0.05118976204759033,0,0,0,0,0.04539092181563674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40531893621274634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007198560287942414,0,0,0,0,0,0,0,0.00519896020795841,0.01099780043991201,0,0,0,0.016996600679864,0.0023995200959808036,0.14077184563087605,0,0.013197360527894405,0,0,0.16296740651869918,0,9.998000399920016e-4,0,0,0,0,0,0,0.004199160167966408,0,0,0,0.12577484503099556,0.014597080583883202,0,0,7.998400319936012e-4,0,0.0049990001999600095,0,0,0.011597680463907209,0,0.016996600679864,0,0,0,0.003999200159968007,0.0017996400719856025,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0045990801839632086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014197160567886403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0067986402719456135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035992801439712063,0,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,7.998400319936012e-4,0,0,0,0,0,0.0011997600479904018,0,0,0,0,0,0,0,0,0.002199560087982403,0,0.001399720055988802,5.998800239952009e-4,0.043191361727654344,5.998800239952009e-4,0,0,0,0,0,0,0.06918616276744652,0.10797840431913738,0,0,0.08018396320735888,0,0.03479304139172156,0.06698660267946405,0,0.09338132373525371,7.998400319936012e-4,0,0.06078784243151351,0,0.047590481903619135,1.999600079984003e-4,0.002199560087982403,0.0027994401119776045,5.998800239952009e-4,5.998800239952009e-4,0,0.057588482303539114,0,5.998800239952009e-4,0.0017996400719856025,0.04879024195160953,0.10817836432713579,0,0,0.052389522095580725,9.998000399920016e-4,0.0963807238552298,0.0017996400719856025,0,0.057388522295540714,0,0.21075784843031833,0.003399320135972806,0,5.998800239952009e-4,0.057388522295540714,0.03599280143971196,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0.0011997600479904018,0.05818836232753431,5.998800239952009e-4,0.003399320135972806,0.0027994401119776045,5.998800239952009e-4,0,0,0,5.998800239952009e-4,0,0.003399320135972806,0,5.998800239952009e-4,0,0,0,0,0.06018796240751831,5.998800239952009e-4,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0.003399320135972806,0,0,0,0,0,0,0,0,0,0.19376124775045378,0,0,0,0,0,0,0.003399320135972806,0,0,0,0,0,0.003399320135972806,0,0,0.05098980203959193,0,0,0,0,0.0027994401119776045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002199560087982403,0,0,0,0.022995400919815986,5.998800239952009e-4,0,5.998800239952009e-4,0,0,0,0,0,0.027394521095780777,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0.002599480103979204,0,0,1.999600079984003e-4,0.00519896020795841,0,0.0027994401119776045,0,1.999600079984003e-4,0,0,7.998400319936012e-4,0,0.04619076184763034,0,0,0,0,0,0,0.05478904219156152,0,0,0,5.998800239952009e-4,9.998000399920016e-4,0,0,0.04099180163967195,0,1.999600079984003e-4,0,0,5.998800239952009e-4,0,0.00519896020795841,0,0,0,0.17236552689462428,0.3735252949410041,0,0,0,0,0,0,0,0,0,0,0,0,0.0685862827434513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0049990001999600095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006998600279944014,0,0,0,0,0,0,0,0.002199560087982403,0.012997400519896006,0,0,0.17996400719856373,0.011597680463907209,3.999200159968006e-4,0,0,0.008998200359928014,0,0,0.2523495300939866,0,0,0,0,0,0,0,0,0.0019996000799840027,0,0,0,0.3339332133573251,0.00539892021595681,0,0,0.003399320135972806,0,0.004199160167966408,0,0,0.00519896020795841,0,0.011597680463907209,0,0,0,0.004199160167966408,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0045990801839632086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011397720455908809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019996000799840027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011997600479904018,0,0,0,0,0,0,0,0,0.002999400119976005,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.028794241151769574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024195160967806384,0,0,0,0,0.017796440711857597,0,0,0.02539492101579678,0.012197560487902407,0,0,0.057588482303539114,0,0,0,0,0,0.029994001199759972,0,0,0,0,0.042391521695660746,0,0.04519096180763834,0,0,0.3211357728454289,0,0,0,0.018396320735852796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006398720255948813,0,0,0,0,0,0,0,0.011597680463907209,0.009598080383923213,0,0,0.008998200359928014,0.028794241151769574,0.0037992401519696068,0.017596480703859198,0,0,0,0,0.00519896020795841,0,0.003999200159968007,0,0,0,0,0,0,0.004399120175964808,0,0,0,0.0045990801839632086,0.14717056588682506,0,0,0.0037992401519696068,0,0.17416516696660994,0,0,0.16436712657468802,0,0.029794041191761572,0,0,0,0.006198760247950412,0.0015996800639872023,0,0,0,0,0,0,0,0,0,0,0,0,0.007398520295940815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008398320335932815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026994601079783978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035992801439712063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035992801439712063,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.0809838032393525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04199160167966395,0,0,0,0,0,0,0.05318936212757432,0,0,0.18436312737452867,0.03199360127974397,0,0,0.04079184163167355,0,0,0,0,0,0.08418316336732701,0,0,0,0,0.03559288142371516,0,0.03519296140771836,0,0,0.03899220155968795,0,0,0,0.19936012797440916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0717856428714258,0,0,0,0,0,0,0,0,0,0.3595280943811176,0,0,0,0,0,0,0.0653869226154768,0,0,0.24795040991802195,0,0,0,0.08798240351929673,0,0,0,0,0.10297940411917722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024795040991801583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031993601279744054,0,0,0,0,0,0,0,0.0015996800639872023,0.006598680263947213,0,0,0.17976404719056532,0.002999400119976005,3.999200159968006e-4,0.21515696860628328,0,0.00519896020795841,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0.1819636072785478,0.005798840231953611,0,0,3.999200159968006e-4,0,9.998000399920016e-4,0,0,5.998800239952009e-4,0,0.002999400119976005,0,0,0,0.0011997600479904018,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002599480103979204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023995200959808036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011997600479904018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04959008198360313,0,0,0,0,0,0,0,0.2539492101579736,0,0,0,0,0,0,0,0,0.047390521895620735,0,0,0.16596680663867527,0,0,0,0.06638672265546883,0,0,0,0,0.051789642071585526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03539292141571676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
